PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Secuencial de Hogar,"Del total de cuartos de este hogar, Cuantos son exclusivos para dormir",Ningun Dormitorio,Tiene este hogar cuarto o espacio exclusivo para cocinar,El servicio higiénico o escusado que dispone el hogar es,Dispone este hogar de espacio con instalaciones y/o ducha para bañarse,Cual es el principal combustible o energía que utiliza este hogar para cocinar,"Principalmente, el agua que toman los miembros del hogar",Dispone este hogar de servicio de telefono convencional,Algun miembro de este hogar dispone de servicio de telefono celular,Dispone este hogar de servicio de internet,Dispone este hogar de computadora,Dispone este hogar de servicio de televisión por cable,Cuanto fue el último pago que realizó el hogar por concepto de luz eléctrica,No paga la luz electrica,Algún miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para trabajar,Cuantos se trasladan fuera de esta ciudad o parroquia para trabajar,Algún miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para estudiar,Cuantos se trasladan fuera de la ciudad o parroquia rural para estudiar,La vivienda que ocupa este hogar es,"Durante el año 2010, Alguna persona de este hogar recibió dinero por parte de familiares o amigos que viven en el exterior",A partir del último censo de población y vivienda(Noviembre 2001) una o mas personas que vivían en este hogar viajaron a otro pais y todavia no regresan para quedarse definitivamente,Cuantos personas viajaron al Exterior,Total_Personas,Total_Hombres,Total_Mujeres,Identificador de manzana,Identificador de vivienda,Identificador de hogar,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Napo,1,53,999,16,4,1,1,Area rural,Hogar 1,3 dormitorios,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,2,1,1,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",1,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,2,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,1,1,0,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",2,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,3,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,Compartido con varios hogares,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,4,2,2,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",3,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,4,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La hierven,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,7,2,5,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",4,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,5,1,Area rural,Hogar 1,4 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,8,6,2,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",5,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,6,1,Area rural,Hogar 1,4 dormitorios,#NULL !,Si,Compartido con varios hogares,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,2,1,1,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",6,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,7,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,6,1,5,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",7,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,8,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",Le ponen cloro,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,Si,3,Propia y totalmente pagada,No,No,#NULL !,8,5,3,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",8,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,9,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,6,4,2,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",9,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,10,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,Compartido con varios hogares,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,9,3,6,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",10,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,5,1,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,8,2,6,15015399901605,"1,5015399901605E+016","1,5015399901605E+017",11,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,5,2,1,Area rural,Hogar 1,0,0,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,8,2,6,15015399901605,"1,5015399901605E+016","1,5015399901605E+017",12,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,5,3,1,Area rural,Hogar 1,3 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La hierven,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y la está pagando,No,No,#NULL !,2,1,1,15015399901605,"1,5015399901605E+016","1,5015399901605E+017",13,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,5,4,1,Area rural,Hogar 1,0,0,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,7,4,3,15015399901605,"1,5015399901605E+016","1,5015399901605E+017",14,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,5,5,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,5,4,1,15015399901605,"1,5015399901605E+016","1,5015399901605E+017",15,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,5,6,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,8,6,2,15015399901605,"1,5015399901605E+016","1,5015399901605E+017",16,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,5,7,1,Area rural,Hogar 1,3 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La hierven,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,1,1,0,15015399901605,"1,5015399901605E+016","1,5015399901605E+017",17,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,5,8,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,3,2,1,15015399901605,"1,5015399901605E+016","1,5015399901605E+017",18,NAPO,TENA,CHONTAPUNTA,150153999016
